date,state,S,I,R,hospitalization,icu,ventilator,bed-usage,icu-usage,ventilator-usage
06/21/2020,Tennessee,2817480.4489903334,25306.270429716715,3927223.2805799474,759.1881128915014,113.87821693372521,101.22508171886686,0.04098845226711486,0.0742361257716592,0.05327635879940361
06/22/2020,Tennessee,2812529.650407951,22378.411104252584,3935101.9384877943,671.3523331275775,100.70284996913662,89.51364441701034,0.03624621170108938,0.06564722944533026,0.047112444430005444
06/23/2020,Tennessee,2808159.6439235345,19782.495177822577,3942067.8608986405,593.4748553346773,89.02122830020159,79.12998071129032,0.032041618363820176,0.05803209146036609,0.04164735826910017
06/24/2020,Tennessee,2804302.8018317684,17482.40272127854,3948224.7954469505,524.4720816383561,78.67081224575342,69.92961088511416,0.028316168968705115,0.05128475374560197,0.036805058360586396
06/25/2020,Tennessee,2800899.2559654764,15445.603520953546,3953665.1405135677,463.3681056286064,69.50521584429094,61.78241408381418,0.025017174475143417,0.04530978868597845,0.03251706004411273
06/26/2020,Tennessee,2797896.03442726,13642.879351231617,3958471.0862215064,409.2863805369485,61.392957080542274,54.57151740492647,0.02209731025466734,0.040021484407133164,0.02872185126575077
06/27/2020,Tennessee,2795246.286682632,12048.046950411052,3962715.666366955,361.4414085123315,54.21621127684973,48.19218780164421,0.019514167396195416,0.03534303212310934,0.025364309369286426
06/28/2020,Tennessee,2792908.5921707144,10637.69123784128,3966463.716591442,319.1307371352384,47.86961057028576,42.55076495136512,0.017229820599030256,0.03120574352691379,0.022395139448086902
06/29/2020,Tennessee,2790846.3427426033,9390.909191515702,3969772.748065879,281.72727574547105,42.25909136182066,37.56363676606281,0.015210413332548918,0.027548299453598865,0.019770335140033055
06/30/2020,Tennessee,2789027.1933191144,8289.068653534967,3972693.738027348,248.672059606049,37.300808940907345,33.15627461413987,0.013425767174497841,0.024316042334359418,0.0174506708495473
07/01/2020,Tennessee,2787422.5723202354,7315.583878252648,3975271.843801509,219.46751634757942,32.92012745213691,29.262335513010594,0.01184901826733503,0.021460317765408677,0.015401229217373996
07/02/2020,Tennessee,2786007.2473400054,6455.707467692478,3977547.0451922994,193.6712240307743,29.050683604616147,25.82282987076991,0.010456280316962224,0.01893786414903269,0.0135909630898789
07/03/2020,Tennessee,2784758.9382789345,5696.34185344472,3979554.719867618,170.8902556033416,25.63353834050124,22.785367413778882,0.009226339250801295,0.01671025967438151,0.01199229863883099
07/04/2020,Tennessee,2783657.9759844597,5025.862429822864,3981326.161585714,150.77587289468593,22.616380934202887,20.103449719291458,0.008140366747364536,0.014743403477316093,0.010580763010153399
07/05/2020,Tennessee,2782686.999108531,4433.962518474138,3982889.0383729916,133.01887555422414,19.95283133313362,17.735850073896554,0.007181669126132391,0.0130070608429815,0.009334657933629765
07/06/2020,Tennessee,2781830.6842609094,3911.507383572761,3984267.8083555144,117.34522150718281,17.601783226077423,15.646029534291044,0.006335450896619308,0.01147443495832948,0.008234752386468971
07/07/2020,Tennessee,2781075.510311982,3450.408165929791,3985484.081522085,103.51224497789372,15.526836746684058,13.801632663719163,0.005588610570019097,0.010121797096925723,0.0072640171914311385
07/08/2020,Tennessee,2780409.5460732975,3043.505088692396,3986556.948838007,91.30515266077188,13.69577289911578,12.174020354769583,0.004929551488001937,0.008928144002031149,0.006407379134089254
07/09/2020,Tennessee,2779822.263835748,2684.4634303686103,3987503.2727338807,80.5339029110583,12.080085436658745,10.73785372147444,0.0043480133306909785,0.007874892722724083,0.005651501958670758
07/10/2020,Tennessee,2779304.3773065447,2367.681535536576,3988337.9411579156,71.03044606609728,10.654566909914593,9.470726142146304,0.0038349231220223133,0.006945610762656188,0.004984592706392792
07/11/2020,Tennessee,2778847.692112767,2088.2064488522196,3989074.101438377,62.64619346556659,9.396929019834987,8.35282579540888,0.003382258582527081,0.006125768591808987,0.004396224102846779
07/12/2020,Tennessee,2778444.981811024,1841.6615966484576,3989723.356592324,55.24984789945373,8.287477184918059,7.36664638659383,0.002982930995543339,0.005402527499946583,0.003877182308733595
07/13/2020,Tennessee,2778089.8710166197,1624.1797512016728,3990295.9492321745,48.72539253605019,7.308808880407527,6.496719004806692,0.002630676629740319,0.004764542946810644,0.0034193257920035218
07/14/2020,Tennessee,2777776.7366255764,1432.3449562458045,3990800.9184181737,42.970348687374134,6.44555230310612,5.729379824983218,0.00231996267613509,0.004201794200199557,0.0030154630657806413
07/15/2020,Tennessee,2777500.6196927014,1263.1408025779483,3991246.239504717,37.89422407733845,5.684133611600767,5.052563210311793,0.0020459034703238553,0.0037054326020865493,0.0026592437949009436
07/16/2020,Tennessee,2777257.1454984844,1113.9033840842199,3991638.9511174276,33.41710152252659,5.012565228378989,4.455613536336879,0.001804184295568869,0.003267643564784217,0.002345059755966779
07/17/2020,Tennessee,2777042.457025113,982.2815652689309,3991985.261409614,29.468446958067926,4.420267043710188,3.9291262610757234,0.0015909970282943487,0.0028815300154564462,0.0020679611900398546
07/18/2020,Tennessee,2776853.1518192054,866.1995878636155,3992290.6485929275,25.985987635908465,3.8978981453862698,3.464798351454462,0.0014029795721794873,0.002541002702337855,0.0018235780797128747
07/19/2020,Tennessee,2776686.2296734415,763.8256324922131,3992559.9446940627,22.914768974766393,3.4372153462149586,3.0553025299688525,0.0012371649376291109,0.0022406879701531673,0.0016080539631415014
07/20/2020,Tennessee,2776539.044946637,673.5432654534512,3992797.4117879057,20.206297963603536,3.0309446945405303,2.694173061813805,0.0010909349942556709,0.0019758439990485857,0.0014179858220072657
07/21/2020,Tennessee,2776409.2640762376,593.9259006696524,3993006.810023089,17.817777020089572,2.6726665530134355,2.3757036026786094,0.0009619791070127185,0.001742285888535486,0.0012503703171992682
07/22/2020,Tennessee,2776294.8298804075,523.7152112885422,3993191.4549083007,15.711456338656264,2.3567184507984393,2.0948608451541686,0.0008482591695635603,0.0015363223277695172,0.0011025583395548257
07/23/2020,Tennessee,2776193.9277144894,461.80073974994923,3993354.271545758,13.854022192498476,2.0781033288747714,1.847202958999797,0.0007479765787981037,0.0013546957815350532,0.0009722120836841037
07/24/2020,Tennessee,2776104.9577192506,407.20304395244966,3993497.839236794,12.21609131857349,1.8324136977860233,1.6288121758097986,0.0006595449367548586,0.0011945330494041873,0.0008572695662156835
07/25/2020,Tennessee,2776026.509111251,359.0581268347312,3993624.4327619104,10.771743805041934,1.6157615707562902,1.4362325073389248,0.0005815648312839831,0.0010532995898020145,0.0007559118459678552
07/26/2020,Tennessee,2775957.337680111,316.6037663077029,3993736.0585535774,9.498112989231087,1.4247169483846631,1.2664150652308117,0.0005128016946998751,0.000928759418764448,0.000666534244858322
07/27/2020,Tennessee,2775896.3466099133,279.1678383688515,3993834.4855517144,8.375035151065545,1.2562552726598317,1.116671353475406,0.0004521668907820724,0.000818940855710451,0.0005877217649870558
07/28/2020,Tennessee,2775842.568433195,246.15734540149865,3993921.2742214,7.384720362044959,1.107708054306744,0.9846293816059946,0.00039869994396096313,0.0007221043378792333,0.0005182259903189446
07/29/2020,Tennessee,2775795.150279606,217.04941018323404,3993997.800310207,6.5114823054970214,0.9767223458245531,0.8681976407329361,0.0003515539523537966,0.0006367160011894088,0.0004569461267015453
